Sigla,Código,Município,Renda per capita média,Ano
AC,1200013,Acrelândia,"303,76",2010
AC,1200054,Assis Brasil,"291,33",2010
AC,1200104,Brasiléia,"376,07",2010
AC,1200138,Bujari,"340,95",2010
AC,1200179,Capixaba,"336,17",2010
AC,1200203,Cruzeiro do Sul,"450,06",2010
AC,1200252,Epitaciolândia,"467,83",2010
AC,1200302,Feijó,"259,43",2010
AC,1200328,Jordão,"178,03",2010
AC,1200336,Mâncio Lima,"295,5",2010
AC,1200344,Manoel Urbano,"307,7",2010
AC,1200351,Marechal Thaumaturgo,"157,27",2010
AC,1200385,Plácido de Castro,"321,16",2010
AC,1200393,Porto Walter,"204,19",2010
AC,1200401,Rio Branco,"744,67",2010
AC,1200427,Rodrigues Alves,"200,58",2010
AC,1200435,Santa Rosa do Purus,"201,58",2010
AC,1200450,Senador Guiomard,"455,06",2010
AC,1200500,Sena Madureira,"320,8",2010
AC,1200609,Tarauacá,"251,53",2010
AC,1200708,Xapuri,"382,24",2010
AC,1200807,Porto Acre,"319,71",2010
AL,2700102,Água Branca,213,2010
AL,2700201,Anadia,"239,53",2010
AL,2700300,Arapiraca,"423,28",2010
AL,2700409,Atalaia,"237,33",2010
AL,2700508,Barra de Santo Antônio,"247,81",2010
AL,2700607,Barra de São Miguel,"422,78",2010
AL,2700706,Batalha,"265,62",2010
AL,2700805,Belém,"309,5",2010
AL,2700904,Belo Monte,"187,77",2010
AL,2701001,Boca da Mata,"260,2",2010
AL,2701100,Branquinha,"221,93",2010
AL,2701209,Cacimbinhas,"259,72",2010
AL,2701308,Cajueiro,"232,85",2010
AL,2701357,Campestre,"245,43",2010
AL,2701407,Campo Alegre,"217,72",2010
AL,2701506,Campo Grande,"181,54",2010
AL,2701605,Canapi,"183,83",2010
AL,2701704,Capela,"251,36",2010
AL,2701803,Carneiros,"199,58",2010
AL,2701902,Chã Preta,"226,6",2010
AL,2702009,Coité do Nóia,"203,15",2010
AL,2702108,Colônia Leopoldina,"242,28",2010
AL,2702207,Coqueiro Seco,"299,47",2010
AL,2702306,Coruripe,"315,85",2010
AL,2702355,Craíbas,"199,54",2010
AL,2702405,Delmiro Gouveia,"332,13",2010
AL,2702504,Dois Riachos,"194,81",2010
AL,2702553,Estrela de Alagoas,"196,92",2010
AL,2702603,Feira Grande,"193,07",2010
AL,2702702,Feliz Deserto,"245,49",2010
AL,2702801,Flexeiras,"213,44",2010
AL,2702900,Girau do Ponciano,"177,55",2010
AL,2703007,Ibateguara,"199,68",2010
AL,2703106,Igaci,"241,17",2010
AL,2703205,Igreja Nova,"254,34",2010
AL,2703304,Inhapi,"180,64",2010
AL,2703403,Jacaré dos Homens,"235,11",2010
AL,2703502,Jacuípe,"219,52",2010
AL,2703601,Japaratinga,"260,92",2010
AL,2703700,Jaramataia,"219,1",2010
AL,2703759,Jequiá da Praia,"199,39",2010
AL,2703809,Joaquim Gomes,"190,23",2010
AL,2703908,Jundiá,"282,87",2010
AL,2704005,Junqueiro,"306,96",2010
AL,2704104,Lagoa da Canoa,"231,56",2010
AL,2704203,Limoeiro de Anadia,"285,98",2010
AL,2704302,Maceió,"792,54",2010
AL,2704401,Major Isidoro,"270,04",2010
AL,2704500,Maragogi,"253,86",2010
AL,2704609,Maravilha,"229,39",2010
AL,2704708,Marechal Deodoro,"431,43",2010
AL,2704807,Maribondo,"297,05",2010
AL,2704906,Mar Vermelho,"229,81",2010
AL,2705002,Mata Grande,"186,87",2010
AL,2705101,Matriz de Camaragibe,"231,82",2010
AL,2705200,Messias,"256,45",2010
AL,2705309,Minador do Negrão,"231,37",2010
AL,2705408,Monteirópolis,"176,62",2010
AL,2705507,Murici,"233,16",2010
AL,2705606,Novo Lino,"239,75",2010
AL,2705705,Olho d'Água das Flores,"274,46",2010
AL,2705804,Olho d'Água do Casado,"211,97",2010
AL,2705903,Olho d'Água Grande,"151,62",2010
AL,2706000,Olivença,"195,19",2010
AL,2706109,Ouro Branco,"227,56",2010
AL,2706208,Palestina,"185,39",2010
AL,2706307,Palmeira dos Índios,"391,37",2010
AL,2706406,Pão de Açúcar,"224,33",2010
AL,2706422,Pariconha,"211,13",2010
AL,2706448,Paripueira,"324,93",2010
AL,2706505,Passo de Camaragibe,"194,73",2010
AL,2706604,Paulo Jacinto,"247,2",2010
AL,2706703,Penedo,"339,15",2010
AL,2706802,Piaçabuçu,"227,65",2010
AL,2706901,Pilar,"292,06",2010
AL,2707008,Pindoba,"292,88",2010
AL,2707107,Piranhas,"265,96",2010
AL,2707206,Poço das Trincheiras,"162,21",2010
AL,2707305,Porto Calvo,"257,64",2010
AL,2707404,Porto de Pedras,"233,72",2010
AL,2707503,Porto Real do Colégio,"195,26",2010
AL,2707602,Quebrangulo,"224,78",2010
AL,2707701,Rio Largo,"369,11",2010
AL,2707800,Roteiro,"208,84",2010
AL,2707909,Santa Luzia do Norte,"295,95",2010
AL,2708006,Santana do Ipanema,"293,85",2010
AL,2708105,Santana do Mundaú,"194,87",2010
AL,2708204,São Brás,"220,92",2010
AL,2708303,São José da Laje,"284,02",2010
AL,2708402,São José da Tapera,"188,84",2010
AL,2708501,São Luís do Quitunde,"244,85",2010
AL,2708600,São Miguel dos Campos,"360,82",2010
AL,2708709,São Miguel dos Milagres,"237,78",2010
AL,2708808,São Sebastião,"225,84",2010
AL,2708907,Satuba,"377,42",2010
AL,2708956,Senador Rui Palmeira,"159,61",2010
AL,2709004,Tanque d'Arca,"217,85",2010
AL,2709103,Taquarana,"215,16",2010
AL,2709152,Teotônio Vilela,"244,39",2010
AL,2709202,Traipu,"178,79",2010
AL,2709301,União dos Palmares,"313,92",2010
AL,2709400,Viçosa,"251,25",2010
AM,1300029,Alvarães,"178,67",2010
AM,1300060,Amaturá,"178,69",2010
AM,1300086,Anamã,"226,82",2010
AM,1300102,Anori,"229,94",2010
AM,1300144,Apuí,"380,62",2010
AM,1300201,Atalaia do Norte,"159,21",2010
AM,1300300,Autazes,"228,43",2010
AM,1300409,Barcelos,"237,29",2010
AM,1300508,Barreirinha,"148,28",2010
AM,1300607,Benjamin Constant,"211,1",2010
AM,1300631,Beruri,"193,4",2010
AM,1300680,Boa Vista do Ramos,"175,55",2010
AM,1300706,Boca do Acre,"288,42",2010
AM,1300805,Borba,"219,83",2010
AM,1300839,Caapiranga,"235,49",2010
AM,1300904,Canutama,"206,44",2010
AM,1301001,Carauari,"222,32",2010
AM,1301100,Careiro,"197,06",2010
AM,1301159,Careiro da Várzea,"207,18",2010
AM,1301209,Coari,"347,2",2010
AM,1301308,Codajás,"239,64",2010
AM,1301407,Eirunepé,"241,86",2010
AM,1301506,Envira,"204,98",2010
AM,1301605,Fonte Boa,"200,4",2010
AM,1301654,Guajará,"191,04",2010
AM,1301704,Humaitá,"382,13",2010
AM,1301803,Ipixuna,"154,54",2010
AM,1301852,Iranduba,"349,23",2010
AM,1301902,Itacoatiara,"373,71",2010
AM,1301951,Itamarati,"214,95",2010
AM,1302009,Itapiranga,"321,94",2010
AM,1302108,Japurá,"248,6",2010
AM,1302207,Juruá,"227,39",2010
AM,1302306,Jutaí,"214,36",2010
AM,1302405,Lábrea,"227,62",2010
AM,1302504,Manacapuru,"342,58",2010
AM,1302553,Manaquiri,"254,15",2010
AM,1302603,Manaus,"790,27",2010
AM,1302702,Manicoré,"295,23",2010
AM,1302801,Maraã,"144,99",2010
AM,1302900,Maués,"244,3",2010
AM,1303007,Nhamundá,"195,12",2010
AM,1303106,Nova Olinda do Norte,"232,07",2010
AM,1303205,Novo Airão,"246,44",2010
AM,1303304,Novo Aripuanã,"219,69",2010
AM,1303403,Parintins,"313,07",2010
AM,1303502,Pauini,"218,21",2010
AM,1303536,Presidente Figueiredo,"396,51",2010
AM,1303569,Rio Preto da Eva,"315,24",2010
AM,1303601,Santa Isabel do Rio Negro,"141,04",2010
AM,1303700,Santo Antônio do Içá,"122,21",2010
AM,1303809,São Gabriel da Cachoeira,"355,51",2010
AM,1303908,São Paulo de Olivença,"150,28",2010
AM,1303957,São Sebastião do Uatumã,"262,79",2010
AM,1304005,Silves,"238,53",2010
AM,1304062,Tabatinga,"338,4",2010
AM,1304104,Tapauá,"193,97",2010
AM,1304203,Tefé,"421,41",2010
AM,1304237,Tonantins,"189,15",2010
AM,1304260,Uarini,"223,11",2010
AM,1304302,Urucará,"246,99",2010
AM,1304401,Urucurituba,"227,55",2010
AP,1600055,Serra do Navio,"484,63",2010
AP,1600105,Amapá,"406,9",2010
AP,1600154,Pedra Branca do Amaparí,"397,98",2010
AP,1600204,Calçoene,"417,71",2010
AP,1600212,Cutias,"287,41",2010
AP,1600238,Ferreira Gomes,"416,72",2010
AP,1600253,Itaubal,"213,26",2010
AP,1600279,Laranjal do Jari,"432,92",2010
AP,1600303,Macapá,"717,88",2010
AP,1600402,Mazagão,"353,61",2010
AP,1600501,Oiapoque,"598,38",2010
AP,1600535,Porto Grande,"356,65",2010
AP,1600550,Pracuúba,"228,81",2010
AP,1600600,Santana,"469,24",2010
AP,1600709,Tartarugalzinho,"250,2",2010
AP,1600808,Vitória do Jari,"309,39",2010
BA,2900108,Abaíra,"290,53",2010
BA,2900207,Abaré,"220,16",2010
BA,2900306,Acajutiba,"260,46",2010
BA,2900355,Adustina,"211,37",2010
BA,2900405,Água Fria,"215,12",2010
BA,2900504,Érico Cardoso,"258,28",2010
BA,2900603,Aiquara,"283,24",2010
BA,2900702,Alagoinhas,"553,17",2010
BA,2900801,Alcobaça,"357,99",2010
BA,2900900,Almadina,"265,39",2010
BA,2901007,Amargosa,"369,84",2010
BA,2901106,Amélia Rodrigues,"354,66",2010
BA,2901155,América Dourada,"186,1",2010
BA,2901205,Anagé,"243,52",2010
BA,2901304,Andaraí,"230,36",2010
BA,2901353,Andorinha,"305,81",2010
BA,2901403,Angical,"266,89",2010
BA,2901502,Anguera,269,2010
BA,2901601,Antas,"283,59",2010
