id_municipio,nome_municipio,idhm,taxa_alfabetizacao_real
1100015,Alta Floresta D'Oeste,0.641,71.18
1100023,Ariquemes,0.702,69.36
1100031,Cabixi,0.65,77.98
1100049,Cacoal,0.718,71.57
1100056,Cerejeiras,0.692,71.27
1100064,Colorado do Oeste,0.685,71.17
1100072,Corumbiara,0.613,74.39
1100080,Costa Marques,0.611,71.68
1100098,Espigão D'Oeste,0.672,77.52
1100106,Guajará-Mirim,0.657,54.74
1100114,Jaru,0.689,71.82
1100122,Ji-Paraná,0.714,70.58
1100130,Machadinho D'Oeste,0.596,61.77
1100148,Nova Brasilândia D'Oeste,0.643,79.01
1100155,Ouro Preto do Oeste,0.682,75.28
1100189,Pimenta Bueno,0.71,78.26
1100205,Porto Velho,0.736,60.04
1100254,Presidente Médici,0.664,70.61
1100262,Rio Crespo,0.643,71.13
1100288,Rolim de Moura,0.7,76.34
1100296,Santa Luzia D'Oeste,0.67,84.68
1100304,Vilhena,0.731,71.84
1100320,São Miguel do Guaporé,0.646,74.23
1100338,Nova Mamoré,0.587,61.29
1100346,Alvorada D'Oeste,0.643,61.26
1100379,Alto Alegre dos Parecis,0.592,79.31
1100403,Alto Paraíso,0.625,67.06
1100452,Buritis,0.616,66.36
1100502,Novo Horizonte do Oeste,0.634,76.38
1100601,Cacaulândia,0.646,77.76
1100700,Campo Novo de Rondônia,0.593,70.64
1100809,Candeias do Jamari,0.649,55.33
1100908,Castanheiras,0.658,70.59
1100924,Chupinguaia,0.652,76.31
1100940,Cujubim,0.612,78.05
1101005,Governador Jorge Teixeira,0.596,79.54
1101104,Itapuã do Oeste,0.614,85.13
1101203,Ministro Andreazza,0.638,75.12
1101302,Mirante da Serra,0.643,73.52
1101401,Monte Negro,0.607,74.93
1101435,Nova União,0.587,72.86
1101450,Parecis,0.617,69.51
1101468,Pimenteiras do Oeste,0.665,64.01
1101476,Primavera de Rondônia,0.641,75.1
1101484,São Felipe D'Oeste,0.649,72.93
1101492,São Francisco do Guaporé,0.611,71.81
1101500,Seringueiras,0.598,69.89
1101559,Teixeirópolis,0.643,74.92
1101609,Theobroma,0.589,71.85
1101708,Urupá,0.609,70.97
1101757,Vale do Anari,0.584,57.05
1101807,Vale do Paraíso,0.627,61.17
1200013,Acrelândia,0.604,63.44
1200054,Assis Brasil,0.588,61.02
1200104,Brasiléia,0.614,60.12
1200138,Bujari,0.589,30.56
1200179,Capixaba,0.575,38.74
1200203,Cruzeiro do Sul,0.664,59.22
1200252,Epitaciolândia,0.653,62.58
1200302,Feijó,0.539,72.48
1200328,Jordão,0.469,51.83
1200336,Mâncio Lima,0.625,48.32
1200344,Manoel Urbano,0.551,52.39
1200351,Marechal Thaumaturgo,0.501,69.46
1200385,Plácido de Castro,0.622,45.72
1200393,Porto Walter,0.532,56.25
1200401,Rio Branco,0.727,61.9
1200427,Rodrigues Alves,0.567,53.42
1200435,Santa Rosa do Purus,0.517,41.1
1200450,Senador Guiomard,0.64,52.64
1200500,Sena Madureira,0.603,71.18
1200609,Tarauacá,0.539,59.5
1200708,Xapuri,0.599,59.2
1200807,Porto Acre,0.576,48.0
1300029,Alvarães,0.527,57.66
1300060,Amaturá,0.56,68.07
1300086,Anamã,0.594,61.33
1300102,Anori,0.561,78.49
1300144,Apuí,0.637,63.96
1300201,Atalaia do Norte,0.45,68.86
1300300,Autazes,0.577,43.6
1300409,Barcelos,0.5,54.99
1300508,Barreirinha,0.574,30.92
1300607,Benjamin Constant,0.574,52.02
1300631,Beruri,0.506,82.72
1300680,Boa Vista do Ramos,0.565,41.21
1300706,Boca do Acre,0.588,55.32
1300805,Borba,0.56,41.1
1300839,Caapiranga,0.569,42.48
1300904,Canutama,0.53,71.66
1301001,Carauari,0.549,59.28
1301100,Careiro,0.557,37.9
1301159,Careiro da Várzea,0.568,43.32
1301209,Coari,0.586,45.36
1301308,Codajás,0.563,51.81
1301407,Eirunepé,0.563,40.16
1301506,Envira,0.509,66.56
1301605,Fonte Boa,0.53,48.41
1301654,Guajará,0.532,59.51
1301704,Humaitá,0.605,57.96
1301803,Ipixuna,0.481,60.72
1301852,Iranduba,0.613,41.6
1301902,Itacoatiara,0.644,53.5
1301951,Itamarati,0.477,82.51
1302009,Itapiranga,0.654,33.58
1302108,Japurá,0.522,84.17
1302207,Juruá,0.522,55.3
1302306,Jutaí,0.516,44.1
1302405,Lábrea,0.531,68.06
1302504,Manacapuru,0.614,47.73
1302553,Manaquiri,0.596,32.9
1302603,Manaus,0.737,55.04
1302702,Manicoré,0.582,60.57
1302801,Maraã,0.498,37.19
1302900,Maués,0.588,57.61
1303007,Nhamundá,0.586,65.88
1303106,Nova Olinda do Norte,0.558,48.13
1303205,Novo Airão,0.57,69.21
