id_municipio,municipio_nome,sigla_uf,pib_R$,pib_per_capita_R$,renda_media_per_capita_R$,densidade_demografica,taxa_alfabetizacao_real
1100015,Alta Floresta D'Oeste,RO,1046343000,48803.31156716418,476.99,3.0338191594736097,68.0
1100015,Alta Floresta D'Oeste,RO,1046343000,48803.31156716418,476.99,3.0338191594736097,78.15
1100015,Alta Floresta D'Oeste,RO,1046343000,48803.31156716418,476.99,3.0338191594736097,67.4
1100023,Ariquemes,RO,4383815000,45592.55137698644,689.95,21.719448836683984,79.7
1100023,Ariquemes,RO,4383815000,45592.55137698644,689.95,21.719448836683984,62.52
1100023,Ariquemes,RO,4383815000,45592.55137698644,689.95,21.719448836683984,65.85
1100031,Cabixi,RO,300832000,56219.77200523267,457.17,4.072298325722984,86.89
1100031,Cabixi,RO,300832000,56219.77200523267,457.17,4.072298325722984,76.0
1100031,Cabixi,RO,300832000,56219.77200523267,457.17,4.072298325722984,71.05
1100049,Cacoal,RO,3848468000,44494.04582976854,738.06,22.803585552333246,66.35
1100049,Cacoal,RO,3848468000,44494.04582976854,738.06,22.803585552333246,63.59
1100049,Cacoal,RO,3848468000,44494.04582976854,738.06,22.803585552333246,84.78
1100056,Cerejeiras,RO,1006389000,63703.570072161034,577.18,5.676607977003234,89.8
1100056,Cerejeiras,RO,1006389000,63703.570072161034,577.18,5.676607977003234,57.21
1100056,Cerejeiras,RO,1006389000,63703.570072161034,577.18,5.676607977003234,66.8
1100064,Colorado do Oeste,RO,580899000,37087.33959011683,535.41,10.794624396967608,72.0
1100064,Colorado do Oeste,RO,580899000,37087.33959011683,535.41,10.794624396967608,63.27
1100064,Colorado do Oeste,RO,580899000,37087.33959011683,535.41,10.794624396967608,78.24
1100072,Corumbiara,RO,509566000,67914.96734639477,402.15,2.4519607843137257,59.66
1100072,Corumbiara,RO,509566000,67914.96734639477,402.15,2.4519607843137257,91.41
1100072,Corumbiara,RO,509566000,67914.96734639477,402.15,2.4519607843137257,72.09
1100080,Costa Marques,RO,413943000,33046.70285805524,370.77,2.5117304992981753,79.91
1100080,Costa Marques,RO,413943000,33046.70285805524,370.77,2.5117304992981753,59.9
